-0.410258-0j 0.499525-0j -0.29614-0j -0.0509611-0j -0.0594546-0j 0.108057-0j 0.0511883-0j -0.0214583-0j -0.0320287-0j -0.00462295-0j -0.0361803-0j -0.00522218-0j 0.0290672-0j -0.0298472-0j 0.00419549-0j 0.0767161-0j -0.00430808-0j 0.0209818-0j 0.011073-0j -0.00681309-0j 0.00302847-0j -0.000983384-0j -0.0237233-0j -0.00419372-0j -0.000349477-0j -0.0262569-0j -0.0046416-0j 0.0204249-0j -0.0003868-0j -0.0138386-0j -0.020973-0j 0.00361065-0j 0.023829-0j -0.00244634-0j -0.00370754-0j 0.000300887-0j 0.0423989-0j -0.000203862-0j -0.0141269-0j -0.000308961-0j 0.0444708-0j 0.00421242-0j 0.00749514-0j 0.00860036-0j 0.000351035-0j -0.0024973-0j 0.00786139-0j 0.000624595-0j -0.00228019-0j -0.000208109-0j 0.000655116-0j 0.00152034-0j 0.000126695-0j -0.000403085-0j -3.35904e-05-0j 
0.000125343-0j -0.000768055-0j 9.04773e-05-0j -0.00148854-0j -0.00173664-0j -0.0135197-0j 0.00752466-0j -0.000626785-0j -0.0009415-0j 0.00631922-0j -0.00106354-0j 0.00713832-0j 0.00430008-0j -0.000877374-0j -0.0288616-0j -0.00965954-0j 0.00588881-0j 0.00310397-0j 0.0648335-0j -0.000200274-0j -0.0208334-0j 0.00134421-0j 7.24798e-06-0j 0.0117859-0j 0.00146386-0j 8.02205e-06-0j 0.0130446-0j -3.14047e-05-0j 0.00162019-0j 4.22799e-06-0j 6.40771e-06-0j -0.0510669-0j -3.66389e-05-0j 0.00687509-0j 0.0104195-0j -0.00634273-0j 1.86772e-05-0j 0.000853916-0j 4.31607e-06-0j 0.00129415-0j 5.81978e-05-0j -0.059578-0j 0.0303707-0j -1.32237e-05-0j -0.00739985-0j 0.00701832-0j 0.0946347-0j 0.00377218-0j 6.96648e-07-0j 0.000871706-0j 0.0117541-0j -0.0215028-0j -0.00267075-0j 0.00113281-0j 0.0001407-0j 
-0.00102363-0j -0.00366813-0j -0.000859768-0j 0.00601465-0j -0.0206518-0j -0.0127534-0j -0.0288461-0j -0.0357189-0j -7.99148e-05-0j 0.00110278-0j 0.00026568-0j -0.00366623-0j 7.25255e-05-0j -0.000355579-0j -0.00100081-0j -0.000563344-0j 0.00490678-0j 6.09154e-05-0j 0.00777381-0j 0.000317746-0j -0.000840597-0j -0.0043847-0j 0.00862663-0j 0.000494962-0j 0.000125484-0j -0.0281002-0j -0.00161228-0j -0.00742722-0j -0.00040875-0j 0.0050322-0j 0.0364143-0j -0.000426144-0j 0.0255019-0j 0.000288728-0j 0.00208931-0j -0.000108038-0j -0.0154177-0j 7.31992e-05-0j 0.00597736-0j 0.000529688-0j -0.0772122-0j 0.0014632-0j -0.000884609-0j 0.0441076-0j 0.000370955-0j 0.000342957-0j -0.00443013-0j -0.000224269-0j 0.0268623-0j 8.69477e-05-0j -0.00112314-0j 0.00253072-0j 0.000641596-0j 0.00154125-0j 0.000390743-0j 
4.16701e-05-0j 3.62051e-07-0j 2.95152e-05-0j 0.000498777-0j -1.65216e-05-0j -0.0010576-0j 0.000486738-0j -0.000618105-0j -1.63091e-06-0j -0.00649997-0j -2.62232e-08-0j -0.000104512-0j -2.95237e-06-0j -2.9453e-06-0j -0.0117666-0j 5.56032e-08-0j -0.0117384-0j -2.09118e-06-0j 0.000221605-0j 1.36301e-06-0j -0.00833436-0j 0.00543224-0j -1.208e-06-0j 4.10457e-05-0j 0.0466473-0j -1.90307e-08-0j 6.46632e-07-0j 1.04004e-06-0j 0.000734879-0j 3.51585e-06-0j 1.03755e-06-0j -3.53388e-05-0j -3.44505e-08-0j -0.000119463-0j -3.52541e-05-0j -0.0401616-0j 2.15896e-06-0j -0.135766-0j -2.80848e-06-0j -0.0400654-0j -2.2e-06-0j 1.17057e-06-0j -7.33579e-05-0j -1.28886e-06-0j 0.00133032-0j 9.54273e-05-0j 7.47523e-05-0j -0.0833693-0j 5.70624e-07-0j 0.108451-0j 0.0849539-0j 4.37934e-05-0j 0.04977-0j -1.93888e-05-0j -0.0220349-0j 
0.000412513-0j 0.000500889-0j -0.000577999-0j 0.00245597-0j 0.0111868-0j 0.00175463-0j 0.00229607-0j 0.00120331-0j 0.0015534-0j -0.0104262-0j -0.00343456-0j 0.0230523-0j -0.00285789-0j -0.00264442-0j 0.0191818-0j -0.00245377-0j 0.017749-0j 0.00400437-0j 0.0164694-0j -0.00428132-0j -0.0268768-0j 0.0287356-0j -1.19586e-05-0j -0.0194457-0j -0.00241524-0j 2.59062e-05-0j 0.0421258-0j -1.04637e-05-0j 0.00523221-0j 3.48051e-05-0j -9.68213e-06-0j -0.017015-0j -4.76615e-05-0j 0.0565962-0j -0.015744-0j -0.00211333-0j -4.31607e-06-0j 0.0070295-0j 5.49987e-05-0j -0.00195547-0j -6.91725e-06-0j -0.0775018-0j -0.00701832-0j -5.12673e-06-0j -0.00962606-0j 0.0894328-0j -0.0112481-0j -0.000871706-0j 5.08454e-05-0j 0.011108-0j -0.00139706-0j -0.00833652-0j -0.00103543-0j 0.0826792-0j 0.0102691-0j 
-0.00021935-0j -0.000782654-0j -0.000145005-0j 0.00260495-0j -0.0029526-0j 0.00174261-0j 0.00788916-0j 0.00523723-0j 0.00164763-0j -0.0110586-0j -0.00180821-0j 0.0121364-0j -0.00451021-0j -0.00153478-0j 0.0302719-0j -0.00120962-0j 0.0103012-0j -0.00298156-0j 0.0081188-0j 0.00370703-0j 0.0200118-0j -0.0248811-0j -1.2684e-05-0j -0.0206253-0j -0.00256175-0j 1.36389e-05-0j 0.0221781-0j 3.29394e-05-0j 0.00275462-0j -7.39898e-06-0j 1.12089e-05-0j 0.0535623-0j -3.73353e-05-0j -0.0120314-0j 0.0182267-0j 0.00665268-0j -5.81978e-05-0j -0.00149435-0j -6.91725e-06-0j 0.00226384-0j 7.49834e-06-0j -0.0607104-0j -0.0946347-0j 6.62242e-05-0j -0.0075405-0j -0.0112481-0j 0.012193-0j -0.0117541-0j -2.2338e-05-0j -0.00139706-0j 0.00151442-0j 0.107686-0j 0.0133751-0j -0.0363236-0j -0.00451155-0j 
-0.000626845-0j -0.00224626-0j -0.000526498-0j -7.78648e-05-0j 0.000267355-0j 0.000165103-0j 0.000373438-0j 0.000462412-0j 0.0094659-0j -7.06353e-06-0j -0.0314698-0j 2.3483e-05-0j -0.00859064-0j 0.0421183-0j 6.41041e-06-0j 0.0667281-0j -3.14291e-05-0j -0.00721543-0j -4.9793e-05-0j -0.037637-0j 5.38422e-06-0j 2.8085e-05-0j -3.62475e-05-0j 0.00123943-0j -5.33976e-07-0j 0.000118072-0j -0.00403729-0j 3.12078e-05-0j 1.73936e-06-0j -2.11444e-05-0j -0.000153006-0j -0.0010671-0j -0.000107154-0j 0.000723001-0j 0.00523182-0j 4.59734e-07-0j 6.47824e-05-0j -3.11486e-07-0j -2.51157e-05-0j -2.25399e-06-0j 0.000324431-0j 0.00366398-0j -0.00221514-0j -0.000185332-0j -1.57853e-06-0j 0.000858797-0j -0.0110935-0j 9.54335e-07-0j -0.00011287-0j -3.6999e-07-0j 4.77932e-06-0j 0.00633715-0j -2.7302e-06-0j 0.00385943-0j -1.66273e-06-0j 
-7.3859e-06-0j 4.52581e-05-0j -5.33142e-06-0j 0.000176344-0j 0.000205735-0j 0.00160164-0j -0.000891427-0j 7.42536e-05-0j -5.76615e-07-0j -0.00229809-0j -6.51356e-07-0j -0.00259597-0j 2.63356e-06-0j -5.37341e-07-0j 0.010496-0j -5.91592e-06-0j -0.00214156-0j 1.901e-06-0j -0.0235778-0j -1.22656e-07-0j 0.0075764-0j -0.000488844-0j -4.27092e-07-0j 1.45118e-05-0j 0.0164923-0j -4.72704e-07-0j 1.60617e-05-0j 1.85054e-06-0j 0.0182536-0j -2.49137e-07-0j -3.77578e-07-0j -6.28782e-05-0j 2.15896e-06-0j 8.46524e-06-0j 1.28294e-05-0j -0.0714594-0j -1.10056e-06-0j 0.00962051-0j -2.54327e-07-0j 0.0145803-0j -3.42934e-06-0j -7.33579e-05-0j 3.73952e-05-0j 7.79212e-07-0j -0.0833693-0j 8.6416e-06-0j 0.000116523-0j 0.0424986-0j -4.10504e-08-0j 0.00982094-0j 0.132425-0j -2.64763e-05-0j -0.0300896-0j 1.39482e-06-0j 0.00158518-0j 
0.00026704-0j -0.001624-0j -0.00852693-0j -0.00156907-0j 0.00899657-0j -0.001121-0j -0.0293488-0j -0.0214044-0j 2.08477e-05-0j -0.000287686-0j -0.000115739-0j 0.00159713-0j 1.92285e-05-0j 0.000355972-0j -0.000265342-0j -8.26878e-05-0j -0.00491221-0j -0.000613991-0j 0.00114104-0j 0.000633942-0j 0.00847271-0j -0.00874803-0j -0.00225047-0j -0.000129123-0j -3.27357e-05-0j 0.0122413-0j 0.000702359-0j -0.00196916-0j 0.000178065-0j -0.00131277-0j -0.0364545-0j -0.000112983-0j 0.0112906-0j -7.53217e-05-0j -0.00209162-0j -2.86437e-05-0j -0.000812237-0j -1.90958e-05-0j 0.0592817-0j -0.000530274-0j -0.0260444-0j 0.000647808-0j -4.66029e-05-0j -0.0268623-0j 0.000164234-0j 0.00340135-0j -0.00149432-0j -1.18149e-05-0j 0.0340996-0j 0.000862322-0j -0.000378846-0j -0.00154125-0j -0.000390743-0j 0.0019565-0j 0.000496018-0j 
-2.43076e-05-0j -2.95152e-05-0j 3.40589e-05-0j -0.000290953-0j -0.00132527-0j -0.000207867-0j -0.00027201-0j -0.000142553-0j 9.51366e-07-0j 0.00379165-0j -2.10347e-06-0j -0.00838335-0j -1.75029e-06-0j -1.61955e-06-0j -0.00697576-0j -1.50279e-06-0j -0.00645469-0j 2.45245e-06-0j -0.00598936-0j -2.62206e-06-0j 0.00977418-0j -0.0104502-0j 7.04665e-07-0j -2.39433e-05-0j -0.0272109-0j -1.52654e-06-0j 5.18692e-05-0j 6.16582e-07-0j 0.0589479-0j -2.05091e-06-0j 5.70525e-07-0j -2.09504e-05-0j 2.80848e-06-0j 6.96865e-05-0j -1.93855e-05-0j -0.0238095-0j 2.54327e-07-0j 0.0791968-0j -3.24083e-06-0j -0.022031-0j 4.07603e-07-0j -9.54273e-05-0j -8.6416e-06-0j 3.02095e-07-0j -0.108451-0j 0.000110118-0j -1.38496e-05-0j -0.00982094-0j -2.9961e-06-0j 0.125146-0j -0.0157397-0j -1.02647e-05-0j -0.0116655-0j 0.000101802-0j 0.115695-0j 
0.000127954-0j 0.000458516-0j 0.000107471-0j -0.00151956-0j 0.00521751-0j 0.00322204-0j 0.00728775-0j 0.0090241-0j -0.000961115-0j 0.00645087-0j 0.00319527-0j -0.0214462-0j 0.000872246-0j -0.00427646-0j -0.0058544-0j -0.00677519-0j 0.028703-0j 0.000732615-0j 0.0454742-0j 0.00382145-0j -0.00491721-0j -0.025649-0j 7.39898e-06-0j 0.0120314-0j 0.00149435-0j -2.41013e-05-0j -0.0391908-0j -6.37026e-06-0j -0.00486767-0j 4.31607e-06-0j 3.12322e-05-0j -0.0103586-0j 2.18728e-05-0j 0.00701832-0j 0.0507863-0j -0.00128658-0j -1.32237e-05-0j 0.000871706-0j 5.12673e-06-0j 0.00630789-0j -6.62242e-05-0j 0.035567-0j -0.0215028-0j 3.78307e-05-0j 0.00441758-0j 0.00833652-0j -0.107686-0j -0.00267075-0j 2.30395e-05-0j 0.00103543-0j -0.0133751-0j 0.0615161-0j 0.00764056-0j 0.0374643-0j 0.00465323-0j 
0.000163528-0j -0.000994496-0j -0.00522166-0j 2.0313e-05-0j -0.000116468-0j 1.45123e-05-0j 0.000379945-0j 0.000277099-0j -0.00246941-0j 1.8427e-06-0j 0.0137093-0j -1.023e-05-0j -0.00227762-0j -0.0421649-0j 1.69958e-06-0j 0.00979437-0j 3.14638e-05-0j 0.0727272-0j -7.30864e-06-0j -0.0750904-0j -5.42696e-05-0j 5.60331e-05-0j 9.45604e-06-0j -0.000323336-0j 1.39301e-07-0j -5.14358e-05-0j 0.00175877-0j 8.27404e-06-0j -7.57721e-07-0j 5.51603e-06-0j 0.000153175-0j -0.000282919-0j -4.74408e-05-0j -0.000188613-0j -0.0052376-0j 1.21888e-07-0j 3.41287e-06-0j 8.12587e-08-0j -0.000249091-0j 2.25648e-06-0j 0.000109434-0j 0.00162217-0j -0.000116698-0j 0.00011287-0j -6.98869e-07-0j 0.0085173-0j -0.00374192-0j 5.02763e-08-0j -0.00014328-0j -3.66945e-06-0j 1.61211e-06-0j -0.00385943-0j 1.66273e-06-0j 0.00489925-0j -2.11071e-06-0j 
1.29253e-05-0j 4.61183e-05-0j 8.54453e-06-0j -0.000308602-0j 0.000349787-0j -0.000206443-0j -0.000934609-0j -0.000620442-0j 1.00908e-06-0j 0.00402165-0j -1.10742e-06-0j -0.00441361-0j -2.76225e-06-0j -9.39966e-07-0j -0.0110089-0j -7.40823e-07-0j -0.00374622-0j -1.82604e-06-0j -0.00295253-0j 2.27035e-06-0j -0.00727762-0j 0.00904842-0j 7.4741e-07-0j -2.53957e-05-0j -0.0288615-0j -8.03682e-07-0j 2.73077e-05-0j -1.94097e-06-0j 0.0310345-0j 4.35989e-07-0j -6.60493e-07-0j 6.59508e-05-0j 2.2e-06-0j -1.48142e-05-0j 2.24424e-05-0j 0.0749513-0j 3.42934e-06-0j -0.0168359-0j 4.07603e-07-0j 0.0255052-0j -4.41844e-07-0j -7.47523e-05-0j -0.000116523-0j -3.9023e-06-0j -0.0849539-0j -1.38496e-05-0j 1.50131e-05-0j -0.132425-0j 1.31628e-06-0j -0.0157397-0j 0.017062-0j 0.000132593-0j 0.150689-0j -4.4725e-05-0j -0.0508287-0j 
-3.338e-05-0j 0.000203001-0j 0.00106587-0j 0.000396414-0j -0.00227292-0j 0.000283212-0j 0.00741475-0j 0.00540767-0j 0.00025073-0j -0.00168287-0j -0.00139196-0j 0.00934266-0j 0.000231256-0j 0.00428119-0j -0.00155216-0j -0.000994466-0j -0.0287348-0j -0.00738431-0j 0.00667472-0j 0.00762426-0j 0.0495625-0j -0.051173-0j -1.93021e-06-0j -0.00313869-0j -0.000389839-0j 1.04993e-05-0j 0.0170728-0j -1.68893e-06-0j 0.00212051-0j -1.12595e-06-0j -3.12667e-05-0j -0.00274635-0j 9.68382e-06-0j -0.0018309-0j -0.0508425-0j -0.000341109-0j -6.96648e-07-0j -0.000227406-0j 5.08454e-05-0j -0.00631486-0j -2.2338e-05-0j 0.0157467-0j -0.00113281-0j -2.30395e-05-0j 0.00195581-0j 0.0826792-0j -0.0363236-0j -0.0001407-0j 2.92469e-05-0j 0.0102691-0j -0.00451155-0j -0.0374643-0j -0.00465323-0j 0.047558-0j 0.00590692-0j 
-7.53977e-06-0j -2.70183e-05-0j -6.33279e-06-0j 0.000180018-0j -0.000618105-0j -0.000381707-0j -0.000863362-0j -0.00106906-0j -5.88628e-07-0j -0.00234596-0j 1.95692e-06-0j 0.00779926-0j 5.34201e-07-0j -2.61909e-06-0j 0.00212905-0j -4.14942e-06-0j -0.0104383-0j 4.48685e-07-0j -0.0165374-0j 2.34042e-06-0j 0.00178822-0j 0.00932769-0j -4.35989e-07-0j 1.48142e-05-0j 0.0168359-0j 1.42018e-06-0j -4.82553e-05-0j 3.75371e-07-0j -0.0548408-0j -2.54327e-07-0j -1.84038e-06-0j -1.27545e-05-0j -1.28886e-06-0j 8.6416e-06-0j 6.25328e-05-0j -0.0144951-0j 7.79212e-07-0j 0.00982094-0j -3.02095e-07-0j 0.0710668-0j 3.9023e-06-0j 4.37934e-05-0j -2.64763e-05-0j -2.22919e-06-0j 0.04977-0j 1.02647e-05-0j -0.000132593-0j -0.0300896-0j -1.35762e-06-0j 0.0116655-0j -0.150689-0j 7.57442e-05-0j 0.0860812-0j 4.61295e-05-0j 0.0524249-0j 
1.96694e-06-0j -1.19619e-05-0j -6.28068e-05-0j -4.69621e-05-0j 0.000269267-0j -3.35514e-05-0j -0.000878407-0j -0.000640633-0j 1.53558e-07-0j 0.000612002-0j -8.52497e-07-0j -0.00339761-0j 1.41631e-07-0j 2.62198e-06-0j 0.000564469-0j -6.09053e-07-0j 0.0104499-0j -4.52247e-06-0j -0.00242737-0j 4.66943e-06-0j -0.0180242-0j 0.0186099-0j 1.13739e-07-0j -3.86464e-06-0j -0.00439206-0j -6.18676e-07-0j 2.10216e-05-0j 9.95212e-08-0j 0.0238904-0j 6.63475e-08-0j 1.84241e-06-0j -3.38156e-06-0j -5.70624e-07-0j -2.25437e-06-0j -6.26019e-05-0j -0.00384305-0j 4.10504e-08-0j -0.00256203-0j -2.9961e-06-0j -0.0711453-0j 1.31628e-06-0j 1.93888e-05-0j -1.39482e-06-0j 1.35762e-06-0j 0.0220349-0j 0.000101802-0j -4.4725e-05-0j -0.00158518-0j -1.72339e-06-0j 0.115695-0j -0.0508287-0j -4.61295e-05-0j -0.0524249-0j 5.85578e-05-0j 0.0665493-0j 
